TheHiddenWorId||899792068599439360||Pocket watch found on a Titanic victim. It is stopped at 02:28, a few minutes after its owner fell into the icy Atl… https://t.co/RhdHxolfhW||||
TheHiddenWorId||899424791483957248||Fragment of the Bayeux Tapestry with the first known depiction of Halley's Comet. England 11th century https://t.co/hTloKR8twC||https://pbs.twimg.com/media/DHsdjRlW0AY4IBw.jpg||
TheHiddenWorId||899067909850316800||Samurai helmet (kabuko) shaped like an octopus. About 18th century, Japan https://t.co/WAfR5X9BSm||https://pbs.twimg.com/media/DHnT93nVwAAsK_u.jpg||
TheHiddenWorId||898714396406423552||Throne of Charlemagne in Aachen. Until 1531, it served as the coronation throne for Kings of Germany, used at a tot… https://t.co/bNMst6UQUH||||
TheHiddenWorId||898327969101340672||Dog king watches his soldiers assault a rabbit castle. Pontifical of Renaud de Bar, Metz ca. 1302-1305 https://t.co/eLXY8ZUsrE||https://pbs.twimg.com/media/DHdAyCxXsAEN-95.jpg||
TheHiddenWorId||897999267687575552||Roman folding pocketknife, 50CE https://t.co/D4jHLRz4qT||https://pbs.twimg.com/media/DHX3MhdXcAAoOFO.jpg||
TheHiddenWorId||897625363890700288||George Washington's battle Sword and Scabbard. He used it during the Revolutionary war https://t.co/89eoScAPRS||https://pbs.twimg.com/media/DHStnaOXoAAgrjw.jpg||
TheHiddenWorId||897281936200048640||1800 year old Roman helmet https://t.co/Ovljau13iY||https://pbs.twimg.com/media/DHNkAtWXoAEn0gs.jpg||
TheHiddenWorId||896900265147678721||Owl-shaped protocorinthian aryballos (perfume bottle), ca. 630 BCE https://t.co/wu0Wo5Y2yP||https://pbs.twimg.com/media/DHIaayIXYAAE-Ks.jpg||
TheHiddenWorId||896547878457319424||Coronation dress of Sophia Magdalena of Denmark, worn during the coronation of her husband, Gustav III of Sweden. 1… https://t.co/zQ49APYFRC||||
TheHiddenWorId||896184786850426880||Italian Prod, 1573, Wood and Ivory https://t.co/YEr1Eg5cWT||https://pbs.twimg.com/media/DG-HQfbUwAA3QS-.jpg||
TheHiddenWorId||895798294965649408||Skull of a 14 year-old girl believed to be a victim of cannibalism at the Jamestown colony in the winter of 1609 https://t.co/nDHA33suOo||https://pbs.twimg.com/media/DG49rkJXUAAIVCk.jpg||
TheHiddenWorId||895419587516289024||Authentic gladiator greaves and helmet unearthed at the arena in Pompeii. 79 AD https://t.co/LkkZ45iliz||https://pbs.twimg.com/media/DGz0EPDUIAAnpK-.jpg||
TheHiddenWorId||895091990278193153||Statue of the god Bes, protector of households and pregnant women. XXXth egyptian dynasty, 341 BC. https://t.co/e1ehMnsduA||https://pbs.twimg.com/media/DGuqg8oUMAA9rhu.jpg||
TheHiddenWorId||894720454316900352||The Bhaja Caves of Maharashtra, India. A group of 22 rock-cut caves dating back to the 2nd century BC https://t.co/7t2bKxiAEc||https://pbs.twimg.com/media/DGpg4fPWsAAC1fB.jpg||
TheHiddenWorId||894356042330521600||Triple barreled German wheel-lock pistol with a single trigger to fire each barrel individually, circa 1610 https://t.co/hmaT7H2hKQ||https://pbs.twimg.com/media/DGkXTG1WAAEPIWf.jpg||
TheHiddenWorId||893987157957763073||Axe from the Tomb of Queen Ahhotep IIZ, Thebes. New Kingdom, Dynasty 18, 16th Century BCE https://t.co/1DifDI0LwP||https://pbs.twimg.com/media/DGfNtVFXgAEI7jw.jpg||
TheHiddenWorId||893642777984028672||A pair of intricately cut shoes that were found on a bog body from over 2,300 years ago https://t.co/0PxhabEP2c||https://pbs.twimg.com/media/DGaEHJZXUAEVd54.jpg||
