id,que,twi_id,retwi,fav,desc,imgurl
1574,sanyu,911776942470434816,32291,0,RT @HailKingSoup: 15 years ago Mario blessed us with this CLASSIC JAM https://t.co/MmorpAbOY3,https://pbs.twimg.com/ext_tw_video_thumb/911108663749648389/pu/img/71d10ye76PU_Xxgv.jpg
1575,sanyu,911772743158370306,57891,0,"RT @BIacknmild: Thats scrappy doo, scoobs nephew you uncultured swine. https://t.co/pE2sf1VozZ",
1576,sanyu,911686105308782592,0,1,https://t.co/kNlbK5Ju41,
1577,sanyu,912381248089227264,30212,0,RT @holyfag: i wouIdve fainted too... then i wouldve rolled on the floor until i was outside by my car https://t.co/Emb08ainoC,
1578,sanyu,912381082376515586,59916,0,RT @JackedYoTweets: Puberty must be the surgeon’s last name https://t.co/oRUvwejZGl,
1579,sanyu,912380986058473474,3940,0,RT @FIirtationship: I feel attacked  https://t.co/0NA7oS2nwL,
1580,sanyu,912351000400408577,87224,0,RT @proletariatitty: People born into wealth shouldnt be praised for accomplishing shit that was handed to them https://t.co/WRrUOcceQW,
1581,sanyu,912317393229176833,0,1,Pata nhi Sanyu ke dimaag mein kaise nhi aaya...usi se toh sikha hai maine🙊🙊😅 https://t.co/7Dz5dNKhKr,
1582,sanyu,912309404258594816,2,0,RT @amirthalakshmi3: Omg sanyu kaustu will be enjoying live show😂😂😂  nd Randhir the way he is looking at something keenly..sanyu kaustu pan…,
1583,sanyu,912308376968732672,2,3,Omg sanyu kaustu will be enjoying live show😂😂😂  nd Randhir the way he is looking at something keenly..sanyu kaustu panicking 😂👌👌 #SaddaHaq,
1584,sanyu,912308155115225099,2,0,RT @amirthalakshmi3: I thought Randhir is kid just see sanyu Man!!😂😂😂😂 hiding from cctv cam in lab Rofllllll cutieee😂😂❤😘 #SaddaHaq #Again,
1585,sanyu,912307848037593088,2,4,I thought Randhir is kid just see sanyu Man!!😂😂😂😂 hiding from cctv cam in lab Rofllllll cutieee😂😂❤😘 #SaddaHaq #Again,
1586,sanyu,912306305150312448,2,0,RT @amirthalakshmi3: Sanyu planning something for Randhir.. To give it back to him..!!😂 #SaddaHaq #Again,
1587,sanyu,912306174522830848,2,1,Sanyu planning something for Randhir.. To give it back to him..!!😂 #SaddaHaq #Again,
1588,sanyu,912288575441342464,11,0,RT @azadessa: The AIDS industrial complex. https://t.co/ibDTlxqw3F,
1589,sanyu,912281977113505792,0,1,A few members from the Sanyu Hospital Ministry came together to celebrate #CairdeasPallaitiveCare and to raise... https://t.co/B1nZ8do4Ay,
1590,sanyu,912280762359144448,6,0,RT @appccmicro: La higienización en la industria de conservas de pescado: puntos críticos... https://t.co/4mbwqH0kW0,
1591,sanyu,912276876592267266,0,0,@redenio うふ💩💩💩,
1592,sanyu,912271135315775488,0,0,@Jude_Mugabi The sarcasm the pope has made me like it,
1593,sanyu,912267159337873409,0,0,@Sanyu Iryn wasp ma dia,
1594,sanyu,912265721903812608,45013,0,RT @DerekCressman: Im thinking Trump picked  on the wrong group of people this time https://t.co/Cjn7SKPNY8,
1595,sanyu,912264757511520256,13,0,RT @muthonie: Meanwhile in #everydaysexism in #Kenya 🤢 https://t.co/vaeTyR5S7g,
1596,sanyu,912264646224211968,2,0,RT @InnaCityNash: Did she think blowing air into that fire would put it out? https://t.co/FFepCy2MRK,
1597,sanyu,912262814789648384,0,1,Our Artist Of The Day Is Cindy sanyu. Enjoy Some Of Her Hits! 🎶🎶🎶🎶🎶 https://t.co/irBxVEP7QB,
1598,sanyu,912262792987791360,90993,0,"RT @chuuzus: i can’t wait to wear Fenty clothes in my house relaxing wearing Fenty slides, listening to Fenty music while sipping my Fenty…",
1599,sanyu,912262083923841024,31060,0,RT @pettyviIIe: “he’s ugly” .. okay bitch and he’s also not yours so what’s your point? https://t.co/ggvlPnfjAG,https://pbs.twimg.com/media/DKb0-wFUQAANGN-.jpg
1600,sanyu,912261759767126017,9795,0,RT @relaxx_its_tiff: what kinda hurt bae nonsense is this???? https://t.co/64KWXP8zRM,https://pbs.twimg.com/ext_tw_video_thumb/911752530383691776/pu/img/7Q_wwK3lOOX-OQsB.jpg
1601,sanyu,912239694699786240,0,0,"Isaac Ruci (Limit X) 🙌🏽🙌🏽, Levixion, Jamimah Sanyu AKA The Stage Gladiator and Bobi Wine you guys took it down.... https://t.co/aIq67m3kAk",
1602,sanyu,912217616722231296,0,0,@Sanyu_uuu くっさ,
1603,tomthomson,912732882078244864,3,7,Gr10 Eng #tomthomson #murdermystery research project begins! @NAEC_LDSB @TTLastSpring  @LimestoneDSB #discovery wit… https://t.co/oBIW0bkdDO,
1604,tomthomson,912708462181830656,1,0,"@MysteriesCanada Includes Death On A Painted Lake: The Tom Thomson Tragedy &gt; my precursor work to ""Many Deaths of… https://t.co/AXdoHz6rkr",
1605,tomthomson,912704033923645440,1,0,"RT @GregoryKlages: @MBACanada ""Portrait dune Tragédie: la mort de #TomThomson"" docs archivistiques transcrits en francais et plus! @Gregor…",
1606,tomthomson,912703931343622145,4,0,RT @ONCultureDays: Love this #TomThomson event in Muskoka. Nice work @algonquinoutfit. https://t.co/tGjbVrYJDk,
1607,tomthomson,912703850221412353,3,0,"RT @GregoryKlages: .@GregoryKlages separates facts from fictions re: #TomThomsons death. &gt; Sept 26, 7pm - Yorkville @torontolibrary . http…",
1608,tomthomson,912703767555981312,3,0,"RT @GregoryKlages: ""Mark Robinsons changing story of mysterious fishing line."" - Read #10 of Top Ten #TomThomson death myths &amp; errors: htt…",
1609,tomthomson,912698161923264512,0,0,"@RonSmidPhoto Painter #TomThomsons 1917 death a mystery. Consider evidence, counter myths. ""The Many Deaths of Tom… https://t.co/Tet1lPAPT4",
1610,tomthomson,912670545229107202,7,0,"RT @algonquinoutfit: Weve already raised $13,000 through the 1,700 bids in our online #TomThomson #PaddleArtAuction https://t.co/jlCoojhZ2…",
1611,tomthomson,912644996683243521,0,0,"@alternativesart @TTLastSpring ""Mark Robinsons changing story of mysterious fishing line."" - Read #10 of Top Ten… https://t.co/ptokckhG46",
1612,tomthomson,912502172163756033,0,0,"Tue, Sep26, 7pm&gt; Separate facts from fictions re: #TomThomsons death with @GregoryKlages &gt;Yorkville @torontolibrary https://t.co/qBzemL4Y96",
1613,tomthomson,912488887003570183,1,0,"RT @GregoryKlages: .@GregoryKlages separates facts from fictions re: #TomThomsons death. &gt; Sept 26, 7pm - Yorkville @torontolibrary . http…",
1614,tomthomson,912447187862376451,1,1,".@GregoryKlages separates facts from fictions re: #TomThomsons death. &gt; Sept 26, 7pm - Yorkville @torontolibrary . https://t.co/qBzemL4Y96",
1615,tomthomson,912439912187691009,6,0,RT @FancyNurse04: Great day on the water today @Algonquin_PP #CanoeLake #TomThomson https://t.co/3SMD70UZfK,https://pbs.twimg.com/media/DKcn7EAUMAEAsiz.jpg
1616,tomthomson,912439219779461120,3,0,RT @StoneRidgeArt: Have you started bidding yet? @algonquinoutfit #tomthomson https://t.co/NcvHxBSpAc,
1617,tomthomson,912439058781130753,3,0,"RT @algonquinoutfit: Some paddles have stories to tell like @inkpenstudios ""Grey Dove"", paddle #192 in our #TomThomson #PaddleArtAuction ht…",
1618,tomthomson,912438997003243520,4,0,RT @OntCottageLife: Are you bidding on a paddle? Some fantastic ones up for auction! @algonquinoutfit #huntsville #tomthomson #artists http…,
1619,tomthomson,912438783961944067,4,0,RT @ONCultureDays: Love this #TomThomson event in Muskoka. Nice work @algonquinoutfit. https://t.co/tGjbVrYJDk,
1620,tomthomson,912438579883839490,7,0,"RT @algonquinoutfit: Weve already raised $13,000 through the 1,700 bids in our online #TomThomson #PaddleArtAuction https://t.co/jlCoojhZ2…",
1621,tomthomson,912438423474049024,1,0,"RT @algonquinoutfit: Theres truly someone for everyone in our #TomThomson #PaddleArtAuction, over 60 paddles under $25 still!  https://t.c…",
1622,tomthomson,912438377454166016,2,0,"RT @algonquinoutfit: Some paddles have stories to tell like ""Algonquin Loon"" by Sean Lehan. https://t.co/XQPv5TWvfA #TomThomson #PaddleArtA…",
1623,tomthomson,912436532866424832,2,0,RT @OxtongueArts: Thanks to @Philthe4cstr for his rousing presentation at our ArtistsDayFestival about just why TomThomson was a weatherma…,
1624,tomthomson,912419071379038208,2,0,RT @OxtongueArts: Thanks to @Philthe4cstr for his rousing presentation at our ArtistsDayFestival about just why TomThomson was a weatherma…,
1625,tomthomson,912417902657142784,0,0,"@hutterdesign Canadian ptr #TomThomsons 1917 death mystery. Consult evidence, challenge myths: ""The Many Deaths of… https://t.co/b76v0BaHI3",
1626,tomthomson,912414338346098689,2,6,Thanks to @Philthe4cstr for his rousing presentation at our ArtistsDayFestival about just why TomThomson was a wea… https://t.co/aYR8h5aGwg,
1627,tomthomson,912395838617477127,2,0,RT @WendyMcLeodArt: 4 DAYS LEFT...live auction!  support the #Art  https://t.co/DktILAfIKW @OxtongueArts @algonquinoutfit  #TomThomson #can…,
1628,tomthomson,912395795286171648,1,0,RT @algonquinoutfit: RT @WendyMcLeodArt: 4 DAYS LEFT...live auction!  support the #Art  https://t.co/3KljqMQVAI @OxtongueArts #TomThomson h…,
1629,tomthomson,912383476795658240,7,0,"RT @algonquinoutfit: Weve already raised $13,000 through the 1,700 bids in our online #TomThomson #PaddleArtAuction https://t.co/jlCoojhZ2…",
1630,tomthomson,912383076864536577,1,3,RT @WendyMcLeodArt: 4 DAYS LEFT...live auction!  support the #Art  https://t.co/3KljqMQVAI @OxtongueArts #TomThomson https://t.co/jV4C8G7GYK,https://pbs.twimg.com/media/DKlnLn9VAAAOiR4.jpg
1631,tomthomson,912373884208521216,2,4,4 DAYS LEFT...live auction!  support the #Art  https://t.co/DktILAfIKW @OxtongueArts @algonquinoutfit  #TomThomson… https://t.co/HDqsEMMdfZ,
1632,tomthomson,912369144481316865,2,0,RT @TTLastSpring: Look closely. See the shadow of #TomThomson above the #WestWind @AlgonquinArt https://t.co/5watJHBIGw,https://pbs.twimg.com/media/DKgEHgoUEAEqdkw.jpg
1633,tomthomson,912337051831455744,6,0,RT @FancyNurse04: Great day on the water today @Algonquin_PP #CanoeLake #TomThomson https://t.co/3SMD70UZfK,https://pbs.twimg.com/media/DKcn7EAUMAEAsiz.jpg
1634,tomthomson,912332498532679680,4,0,RT @TTLastSpring: We hardly knew ye. #TomThomson https://t.co/zJ29VBDgAo,https://pbs.twimg.com/media/DKgsIXiVAAEyGE-.jpg
1635,tomthomson,912304442866839553,2,0,"RT @algonquinoutfit: Some paddles have stories to tell like ""Algonquin Loon"" by Sean Lehan. https://t.co/XQPv5TWvfA #TomThomson #PaddleArtA…",
1636,tomthomson,912297744794046464,4,0,RT @TTLastSpring: We hardly knew ye. #TomThomson https://t.co/zJ29VBDgAo,https://pbs.twimg.com/media/DKgsIXiVAAEyGE-.jpg
1637,tomthomson,912275846609506304,6,0,RT @FancyNurse04: Great day on the water today @Algonquin_PP #CanoeLake #TomThomson https://t.co/3SMD70UZfK,https://pbs.twimg.com/media/DKcn7EAUMAEAsiz.jpg
1638,tomthomson,912271774733217793,2,5,"Some paddles have stories to tell like ""Algonquin Loon"" by Sean Lehan. https://t.co/XQPv5TWvfA #TomThomson… https://t.co/XxQue8YoUw",
1639,tomthomson,912085632998150144,0,0,@FIFA18Tips PS4,
1640,tomthomson,912085566077980673,2472,0,"RT @FIFA18Tips: 2 x 4600 FIFA 18 Points giveaway, retweet this and follow to enter, 2 winners picked within 2 days ( any platform ) https:/…",
1641,tomthomson,912077485399068672,7,0,"RT @algonquinoutfit: Weve already raised $13,000 through the 1,700 bids in our online #TomThomson #PaddleArtAuction https://t.co/jlCoojhZ2…",
1642,tomthomson,912070422044258304,1,5,"Theres truly someone for everyone in our #TomThomson #PaddleArtAuction, over 60 paddles under $25 still!… https://t.co/Z3ouki4niT",
